('? Flip Knife | Case Hardened', '695', '2'),
('? Gut Knife | Case Hardened', '567', '1'),
('? Gut Knife | Case Hardened', '962', '1'),
('? Huntsman Knife | Case Hardened', '248', '1'),
('? Huntsman Knife | Case Hardened', '29', '1'),
('? Bowie Knife Knife | Case Hardened', '182', '1'),
('? Bowie Knife Knife | Case Hardened', '358', '1'),
('Five-SeveN | Case Hardened', '278', '1'),
('Five-SeveN | Case Hardened', '690', '1'),
('Five-SeveN | Case Hardened', '689', '1'),
('Five-SeveN | Case Hardened', '648', '1'),
('Five-SeveN | Case Hardened', '532', '1'),
('Five-SeveN | Case Hardened', '670', '1'),
('Five-SeveN | Case Hardened', '872', '1'),
('Five-SeveN | Case Hardened', '868', '1'),
('Five-SeveN | Case Hardened', '363', '1'),
('Five-SeveN | Case Hardened', '321', '1'),
('Five-SeveN | Case Hardened', '843', '2'),
('Five-SeveN | Case Hardened', '112', '2'),
('Five-SeveN | Case Hardened', '571', '2'),
('Five-SeveN | Case Hardened', '685', '2'),
('Five-SeveN | Case Hardened', '849', '2'),
('Five-SeveN | Case Hardened', '381', '2'),
('Five-SeveN | Case Hardened', '985', '2'),
('Five-SeveN | Case Hardened', '844', '2'),
('Five-SeveN | Case Hardened', '151', '2'),
('Five-SeveN | Case Hardened', '434', '2'),
('Five-SeveN | Case Hardened', '888', '2'),
('Five-SeveN | Case Hardened', '700', '2'),
('Five-SeveN | Case Hardened', '387', '2'),
('Five-SeveN | Case Hardened', '430', '2'),
('Five-SeveN | Case Hardened', '81', '2'),
('Five-SeveN | Case Hardened', '887', '2'),
('Five-SeveN | Case Hardened', '87', '2'),
('Five-SeveN | Case Hardened', '126', '2'),
('Five-SeveN | Case Hardened', '770', '2'),
('Five-SeveN | Case Hardened', '979', '2'),
('Five-SeveN | Case Hardened', '122', '2'),
('Five-SeveN | Case Hardened', '305', '2'),
('Five-SeveN | Case Hardened', '631', '2'),
('Five-SeveN | Case Hardened', '935', '2'),
('Five-SeveN | Case Hardened', '344', '2'),
('Five-SeveN | Case Hardened', '25', '2'),
('Five-SeveN | Case Hardened', '833', '2'),
('Five-SeveN | Case Hardened', '28', '2'),
('Five-SeveN | Case Hardened', '168', '2'),
('Five-SeveN | Case Hardened', '273', '2'),
('Five-SeveN | Case Hardened', '879', '2'),
('Five-SeveN | Case Hardened', '878', '2'),
('Five-SeveN | Case Hardened', '875', '2'),
('Five-SeveN | Case Hardened', '874', '2'),
('Five-SeveN | Case Hardened', '969', '2'),
('Five-SeveN | Case Hardened', '823', '2'),
('Five-SeveN | Case Hardened', '828', '2'),
('Five-SeveN | Case Hardened', '215', '2'),
('Five-SeveN | Case Hardened', '760', '2'),
('Five-SeveN | Case Hardened', '862', '2'),
('Five-SeveN | Case Hardened', '927', '2'),
('Five-SeveN | Case Hardened', '661', '2'),
('Five-SeveN | Case Hardened', '177', '2'),
('Five-SeveN | Case Hardened', '450', '2'),
('Five-SeveN | Case Hardened', '13', '2'),
('Five-SeveN | Case Hardened', '768', '2'),
('Five-SeveN | Case Hardened', '174', '2'),
('Five-SeveN | Case Hardened', '369', '2'),
('Five-SeveN | Case Hardened', '724', '2'),
('Five-SeveN | Case Hardened', '627', '2'),
('Five-SeveN | Case Hardened', '557', '2'),
('Five-SeveN | Case Hardened', '555', '2'),
